id,posted_time,updated_time,age,updated_age,app_type,owner_id,owner_type,owner_influence,number_of_likes,number_of_comments,reactivity,is_mentions_me,is_mentions_connections,is_commented_by_me,is_commented_by_connections,is_liked_by_me,is_liked_by_connections,poster_id,poster_gender,poster_is_employee,poster_is_lead,poster_is_in_connections,poster_focus,poster_order,poster_influence,participant1_id,participant1_action,participant1_gender,participant1_is_employee,participant1_is_lead,participant1_is_in_connections,participant1_focus,participant1_order,participant1_influence,participant2_id,participant2_action,participant2_gender,participant2_is_employee,participant2_is_lead,participant2_is_in_connections,participant2_focus,participant2_order,participant2_influence,participant3_id,participant3_action,participant3_gender,participant3_is_employee,participant3_is_lead,participant3_is_in_connections,participant3_focus,participant3_order,participant3_influence,participant4_id,participant4_action,participant4_gender,participant4_is_employee,participant4_is_lead,participant4_is_in_connections,participant4_focus,participant4_order,participant4_influence,participant5_id,participant5_action,participant5_gender,participant5_is_employee,participant5_is_lead,participant5_is_in_connections,participant5_focus,participant5_order,participant5_influence,rank
212808,1.54099E+12,1.54111E+12,36218977232,36096152955,other,3201,space,0.99992,24,4,0.51,0,0,0,1,0,1,78,female,1,0,1,marketing,6,0.99808,108639,commented,male,0,0,1,marketing,5,0.99436,114145,commented,male,1,0,1,marketing,4,0.99842,6,commented,male,1,0,1,marketing,3,0.99772,115077,commented,male,1,0,1,marketing,2,0.99809,17,liked,female,1,0,1,marketing,1,0.99896,0.87156
212809,1.54099E+12,1.54099E+12,36218726441,36213191497,other,83022,space,0.1,0,2,0,0,1,0,1,0,0,114145,male,1,0,1,marketing,6,0.99842,108025,commented,male,1,0,0,marketing,5,0.99891,114145,commented,male,1,0,1,marketing,4,0.99842,11,commented,male,1,0,1,marketing,3,0.99866,57,commented,male,0,0,1,marketing,2,0.98969,5,commented,male,1,0,1,marketing,1,0.99962,0.86814
212813,1.54099E+12,1.541E+12,36217131968,36209552659,other,13853,space,0.1,0,1,0,0,0,0,1,0,0,78,female,1,0,1,marketing,6,0.99808,62,commented,male,1,0,1,marketing,5,0.99586,22636,viewed,male,0,0,1,other,4,0.23077,3080,viewed,male,0,0,1,marketing,3,0.23077,44661,viewed,male,0,0,1,other,2,0.23077,3089,viewed,male,0,0,1,other,1,0.23077,0.72175
212830,1.54099E+12,1.54142E+12,36212417184,35787816878,other,114193,space,0.95633,3,2,0,0,0,0,1,0,1,109375,male,1,0,1,marketing,6,0.99715,109375,commented,male,1,0,1,marketing,5,0.99715,5,commented,male,1,0,1,marketing,4,0.99962,72,liked,male,1,0,1,marketing,3,0.9961,110401,liked,male,1,0,1,marketing,2,0.99788,67,liked,female,0,0,1,marketing,1,0.99806,0.86089
212831,1.54099E+12,1.54106E+12,36212417111,36141558734,other,114193,space,0.95633,1,1,0,0,0,0,1,0,1,109375,male,1,0,1,marketing,6,0.99715,109375,commented,male,1,0,1,marketing,5,0.99715,5,liked,male,1,0,1,marketing,4,0.99962,22636,viewed,male,0,0,1,other,3,0.23077,3080,viewed,male,0,0,1,marketing,2,0.23077,44661,viewed,male,0,0,1,other,1,0.23077,0.79141
212832,1.54099E+12,1.54142E+12,36212417029,35787989732,other,114193,space,0.95633,2,2,0,0,0,0,1,0,1,109375,male,1,0,1,marketing,6,0.99715,109375,commented,male,1,0,1,marketing,5,0.99715,5,commented,male,1,0,1,marketing,4,0.99962,110401,liked,male,1,0,1,marketing,3,0.99788,22636,viewed,male,0,0,1,other,2,0.23077,3080,viewed,male,0,0,1,marketing,1,0.23077,0.82736
212836,1.54099E+12,1.54099E+12,36211634874,36211634874,other,114193,space,0.95633,0,0,0,0,0,0,0,0,0,146,male,1,0,1,marketing,6,0.99899,22636,viewed,male,0,0,1,other,5,0.23077,3080,viewed,male,0,0,1,marketing,4,0.23077,44661,viewed,male,0,0,1,other,3,0.23077,3089,viewed,male,0,0,1,other,2,0.23077,3084,viewed,male,0,0,1,marketing,1,0.23077,0.49975
212839,1.54099E+12,1.54106E+12,36211496931,36141462156,other,3201,space,0.99992,47,30,1,0,1,0,1,1,1,57,male,0,0,1,marketing,6,0.98969,5,commented,male,1,0,1,marketing,5,0.99962,146,commented,male,1,0,1,marketing,4,0.99899,110965,commented,male,0,0,1,marketing,3,0.99861,111056,commented,male,0,0,1,engineering,2,0.99015,120731,commented,male,0,0,0,engineering,1,0.99787,0.88604
212981,1.541E+12,1.54109E+12,36204669931,36120050794,other,57727,space,0.99973,6,3,1,0,1,0,1,0,1,41,male,1,0,1,sales,6,0.99828,41,commented,male,1,0,1,sales,5,0.99828,75,commented,male,1,0,1,marketing,4,0.99674,38,commented,female,1,0,1,marketing,3,0.99825,108025,commented,male,1,0,0,marketing,2,0.99891,122535,liked,male,1,0,0,marketing,1,0.99301,0.87156
212995,1.541E+12,1.541E+12,36202931946,36202931946,other,29314,space,0.98761,8,0,0,0,0,0,0,0,1,20,female,1,0,1,marketing,6,0.99709,106529,liked,male,0,0,1,other,5,0.9945,17,liked,female,1,0,1,marketing,4,0.99896,10,liked,male,1,0,1,marketing,3,0.99902,11,liked,male,1,0,1,marketing,2,0.99866,121,liked,male,1,0,1,marketing,1,0.99919,0.83306
213002,1.541E+12,1.54177E+12,36202625179,35439747734,other,9037,space,0.99949,0,1,0.166874541,0,0,0,1,0,0,117235,male,1,0,1,marketing,6,0.99904,117235,commented,male,1,0,1,marketing,5,0.99904,22636,viewed,male,0,0,1,other,4,0.23077,3080,viewed,male,0,0,1,marketing,3,0.23077,44661,viewed,male,0,0,1,other,2,0.23077,3089,viewed,male,0,0,1,other,1,0.23077,0.72207
213003,1.541E+12,1.541E+12,36202615245,36202615245,other,9037,space,0.99949,0,0,0,0,0,0,0,0,0,117235,male,1,0,1,marketing,6,0.99904,22636,viewed,male,0,0,1,other,5,0.23077,3080,viewed,male,0,0,1,marketing,4,0.23077,44661,viewed,male,0,0,1,other,3,0.23077,3089,viewed,male,0,0,1,other,2,0.23077,3084,viewed,male,0,0,1,marketing,1,0.23077,0.61524
213005,1.541E+12,1.541E+12,36202333395,36202214370,other,57727,space,0.99973,6,1,1,0,0,0,1,0,1,41,male,1,0,1,sales,6,0.99828,41,commented,male,1,0,1,sales,5,0.99828,122535,commented,male,1,0,0,marketing,4,0.99301,117235,liked,male,1,0,1,marketing,3,0.99904,108025,liked,male,1,0,0,marketing,2,0.99891,5,liked,male,1,0,1,marketing,1,0.99962,0.86088
