id,posted_time,updated_time,age,updated_age,app_type,owner_id,owner_type,owner_influence,number_of_likes,number_of_comments,reactivity,is_mentions_me,is_mentions_connections,is_commented_by_me,is_commented_by_connections,is_liked_by_me,is_liked_by_connections,poster_id,poster_gender,poster_is_employee,poster_is_lead,poster_is_in_connections,poster_focus,poster_order,poster_influence,participant1_id,participant1_action,participant1_gender,participant1_is_employee,participant1_is_lead,participant1_is_in_connections,participant1_focus,participant1_order,participant1_influence,participant2_id,participant2_action,participant2_gender,participant2_is_employee,participant2_is_lead,participant2_is_in_connections,participant2_focus,participant2_order,participant2_influence,participant3_id,participant3_action,participant3_gender,participant3_is_employee,participant3_is_lead,participant3_is_in_connections,participant3_focus,participant3_order,participant3_influence,participant4_id,participant4_action,participant4_gender,participant4_is_employee,participant4_is_lead,participant4_is_in_connections,participant4_focus,participant4_order,participant4_influence,participant5_id,participant5_action,participant5_gender,participant5_is_employee,participant5_is_lead,participant5_is_in_connections,participant5_focus,participant5_order,participant5_influence
273645,1.57547E+12,1.57547E+12,1747814054,1747814054,other,78,user,0.99937,11,0,0,0,0,0,0,0,1,78,female,1,0,1,marketing,6,0.99808,128564,liked,male,1,0,0,other,5,0.97487,129104,liked,female,1,0,0,marketing,4,0.995,125983,liked,male,1,0,0,other,3,0.96169,62,liked,male,1,0,1,marketing,2,0.99586,114145,liked,male,1,0,1,marketing,1,0.99842
272154,1.57478E+12,1.57478E+12,2440468113,2440468113,forum,115788,space,0.1,0,3,0,0,0,0,0,0,0,120324,male,0,0,0,marketing,6,0.09091,13659,commented,male,0,0,0,other,5,0.99756,126225,commented,female,1,0,0,other,4,0.99737,120324,commented,male,0,0,0,marketing,3,0.09091,22636,viewed,male,0,0,1,other,2,0.23077,3080,viewed,male,0,0,1,marketing,1,0.23077
273475,1.57539E+12,1.57539E+12,1827063089,1827063089,other,40316,space,0.5,0,2,0,0,1,0,1,0,0,1,male,1,0,1,sales,6,0.99645,72,commented,male,1,0,1,marketing,5,0.9961,1,commented,male,1,0,1,sales,4,0.99645,22636,viewed,male,0,0,1,other,3,0.23077,3080,viewed,male,0,0,1,marketing,2,0.23077,44661,viewed,male,0,0,1,other,1,0.23077
273639,1.57547E+12,1.57547E+12,1748885612,1748885612,other,75,user,0.97462,8,0,0,0,0,0,0,0,1,126225,female,1,0,0,other,6,0.99737,125972,liked,female,1,0,0,other,5,0.98656,127307,liked,male,1,0,0,other,4,0.99133,125983,liked,male,1,0,0,other,3,0.96169,119825,liked,female,1,0,0,other,2,0.99754,114145,liked,male,1,0,1,marketing,1,0.99842
273580,1.57546E+12,1.57546E+12,1762310126,1762310126,other,57727,space,0.99973,17,4,0,0,0,0,1,0,1,146,male,1,0,1,marketing,6,0.99899,129104,commented,female,1,0,0,marketing,5,0.995,5,commented,male,1,0,1,marketing,4,0.99962,25,commented,male,1,0,1,marketing,3,0.99433,4,commented,male,1,0,1,marketing,2,0.99867,108025,liked,male,1,0,0,marketing,1,0.99891
273305,1.57537E+12,1.57537E+12,1852168007,1851966474,other,57727,space,0.99973,11,4,0,0,1,0,1,0,1,129104,female,1,0,0,marketing,6,0.995,129104,commented,female,1,0,0,marketing,5,0.995,4,commented,male,1,0,1,marketing,4,0.99867,7,commented,male,1,0,1,marketing,3,0.99886,5,commented,male,1,0,1,marketing,2,0.99962,117235,liked,male,1,0,1,marketing,1,0.99904
272368,1.57486E+12,1.57486E+12,2358401038,2358401038,other,9037,space,0.99949,1,3,0,0,1,0,1,0,1,119774,male,1,0,0,other,6,0.99453,119774,commented,male,1,0,0,other,5,0.99453,37,commented,female,1,0,1,marketing,4,0.99339,5,commented,male,1,0,1,marketing,3,0.99962,22636,viewed,male,0,0,1,other,2,0.23077,3080,viewed,male,0,0,1,marketing,1,0.23077
271008,1.57416E+12,1.57416E+12,3054899960,3054899960,other,9037,space,0.99949,2,3,0,0,1,0,1,0,1,51,female,1,0,1,marketing,6,0.99813,51,commented,female,1,0,1,marketing,5,0.99813,5,commented,male,1,0,1,marketing,4,0.99962,37,commented,female,1,0,1,marketing,3,0.99339,80,liked,male,1,0,1,other,2,0.99351,22636,viewed,male,0,0,1,other,1,0.23077
272360,1.57486E+12,1.57486E+12,2361331007,2361331007,forum,111913,space,0.99977,4,5,0,0,0,0,1,0,1,5,male,1,0,1,marketing,6,0.99962,146,commented,male,1,0,1,marketing,5,0.99899,5,commented,male,1,0,1,marketing,4,0.99962,124732,commented,male,1,0,0,marketing,3,0.99402,126225,commented,female,1,0,0,other,2,0.99737,7,commented,male,1,0,1,marketing,1,0.99886
251326,1.56084E+12,1.56084E+12,16374114357,16374114357,forum,111913,space,0.99977,0,3,0,0,0,1,0,0,0,14,male,1,0,0,engineering,6,0.09091,13659,commented,male,0,0,0,other,5,0.99756,14,commented,male,1,0,0,engineering,4,0.09091,126225,commented,female,1,0,0,other,3,0.99737,22636,viewed,male,0,0,1,other,2,0.23077,3080,viewed,male,0,0,1,marketing,1,0.23077
273549,1.57545E+12,1.57545E+12,1766666347,1766666347,wiki,4882,space,0.91736,0,0,0,0,0,0,0,0,0,121,male,1,0,1,marketing,6,0.99919,22636,viewed,male,0,0,1,other,5,0.23077,3080,viewed,male,0,0,1,marketing,4,0.23077,44661,viewed,male,0,0,1,other,3,0.23077,3089,viewed,male,0,0,1,other,2,0.23077,3084,viewed,male,0,0,1,marketing,1,0.23077
273474,1.57539E+12,1.57539E+12,1827199943,1827199943,wiki,4882,space,0.91736,0,1,0,0,0,0,1,0,0,121,male,1,0,1,marketing,6,0.99919,121,commented,male,1,0,1,marketing,5,0.99919,22636,viewed,male,0,0,1,other,4,0.23077,3080,viewed,male,0,0,1,marketing,3,0.23077,44661,viewed,male,0,0,1,other,2,0.23077,3089,viewed,male,0,0,1,other,1,0.23077
273210,1.5753E+12,1.5753E+12,1915253935,1915253935,forum,111913,space,0.99977,1,3,0,0,0,0,1,0,1,5,male,1,0,1,marketing,6,0.99962,13659,commented,male,0,0,0,other,5,0.99756,126225,commented,female,1,0,0,other,4,0.99737,5,commented,male,1,0,1,marketing,3,0.99962,115077,liked,male,1,0,1,marketing,2,0.99809,22636,viewed,male,0,0,1,other,1,0.23077
273545,1.57545E+12,1.57545E+12,1767070124,1767070124,other,78,user,0.99937,3,0,0,0,0,0,0,0,1,78,female,1,0,1,marketing,6,0.99808,129104,liked,female,1,0,0,marketing,5,0.995,99314,liked,female,1,0,1,marketing,4,0.99589,62,liked,male,1,0,1,marketing,3,0.99586,22636,viewed,male,0,0,1,other,2,0.23077,3080,viewed,male,0,0,1,marketing,1,0.23077
273487,1.57539E+12,1.57539E+12,1824962069,1824962069,wiki,4882,space,0.91736,5,3,0,0,0,1,1,1,1,121,male,1,0,1,marketing,6,0.99919,108025,commented,male,1,0,0,marketing,5,0.99891,14,commented,male,1,0,0,engineering,4,0.09091,5,commented,male,1,0,1,marketing,3,0.99962,66,liked,male,1,0,1,other,2,0.99693,7,liked,male,1,0,1,marketing,1,0.99886
273537,1.57545E+12,1.57545E+12,1768858490,1768858490,other,51,user,0.1,11,0,0,0,0,0,0,0,1,71,female,1,0,0,marketing,6,0.99248,126225,liked,female,1,0,0,other,5,0.99737,51,liked,female,1,0,1,marketing,4,0.99813,128564,liked,male,1,0,0,other,3,0.97487,126270,liked,male,1,0,0,engineering,2,0.96283,78,liked,female,1,0,1,marketing,1,0.99808
273528,1.57545E+12,1.57545E+12,1772151328,1772151328,other,117084,space,0.1,6,0,0,0,0,0,0,0,1,117086,male,0,0,0,other,6,0.99161,114145,liked,male,1,0,1,marketing,5,0.99842,123797,liked,female,1,0,1,other,4,0.99586,71,liked,female,1,0,0,marketing,3,0.99248,17,liked,female,1,0,1,marketing,2,0.99896,110401,liked,male,1,0,1,marketing,1,0.99788
106205,1.45633E+12,1.45633E+12,1.20891E+11,1.20891E+11,other,46721,space,0.1,1,37,0,0,1,0,1,0,1,46721,male,0,0,1,none,6,0.09091,121,commented,male,1,0,1,marketing,5,0.99919,127367,commented,male,0,0,0,other,4,0.09091,127561,commented,male,0,0,0,other,3,0.09091,124732,commented,male,1,0,0,marketing,2,0.99402,45373,commented,male,0,0,0,other,1,0.09091
273480,1.57539E+12,1.57539E+12,1826811190,1826811190,other,40316,space,0.5,0,0,0,0,0,0,0,0,0,66,male,1,0,1,other,6,0.99693,22636,viewed,male,0,0,1,other,5,0.23077,3080,viewed,male,0,0,1,marketing,4,0.23077,44661,viewed,male,0,0,1,other,3,0.23077,3089,viewed,male,0,0,1,other,2,0.23077,3084,viewed,male,0,0,1,marketing,1,0.23077
273476,1.57539E+12,1.57539E+12,1827040443,1827040443,other,124733,user,0.1,9,1,0,0,0,0,1,0,1,1,male,1,0,1,sales,6,0.99645,124733,commented,female,1,0,1,other,5,0.99489,120363,liked,female,1,0,0,other,4,0.9948,126225,liked,female,1,0,0,other,3,0.99737,99314,liked,female,1,0,1,marketing,2,0.99589,125983,liked,male,1,0,0,other,1,0.96169
271822,1.57461E+12,1.57461E+12,2608826349,2608826349,other,9037,space,0.99949,0,2,0,0,1,0,1,0,0,108025,male,1,0,0,marketing,6,0.99891,108025,commented,male,1,0,0,marketing,5,0.99891,6,commented,male,1,0,1,marketing,4,0.99772,119774,commented,male,1,0,0,other,3,0.99453,38,commented,female,1,0,1,marketing,2,0.99825,22636,viewed,male,0,0,1,other,1,0.23077
